WKT;full_id;osm_id;osm_type;access;bicycle_parking;description;trailer;operator;opening_hours;maxheight;location;supervised;park_ride;covered;wheelchair;addr:street;addr:postcode;addr:housenumber;addr:city;start_date;source:date;ref:bag;old_name;layer;website;surface;note:access;capacity;sport;lit;note:fee;fee:conditional;loc_name;leisure;type;parking;name;fee;amenity
"MULTIPOLYGON Z (((83814.5294289075 446975.176349346 0,83823.1347039234 446963.203003976 0,83832.5288462927 446969.93445118 0,83823.9234023992 446981.896655409 0,83814.5294289075 446975.176349346 0)))";w345067568;"345067568";way;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;playground;;;;;
"MULTIPOLYGON Z (((83794.0929220133 447079.541292637 0,83780.2360321519 447069.969437781 0,83793.9930718664 447049.944225369 0,83808.0907245633 447060.024535298 0,83806.8921546175 447061.688479047 0,83794.0929220133 447079.541292637 0)))";w364564610;"364564610";way;yes;;;;;;;;;;;;;;;;;;;;;;;;"16";;;Parkeergebied C;yes @ (Mo-Sa 12:00-24:00);;;;surface;;no;parking
"MULTIPOLYGON Z (((85212.8821516101 447377.30011234 0,85216.5232590139 447374.489610895 0,85223.4457410508 447381.925854696 0,85230.9880376979 447381.642286681 0,85334.2735253058 447352.636189199 0,85336.7722033909 447359.956357416 0,85235.3008725511 447387.089909531 0,85226.1127889183 447388.509219313 0,85222.4098842489 447386.903080409 0,85213.8534595577 447380.958494904 0,85212.8821516101 447377.30011234 0)))";w459357685;"459357685";way;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;Parkeergebied F;yes @ (Mo-Sa 12:00-24:00);;;;street_side;;no;parking
"MULTIPOLYGON Z (((84076.3140799517 447405.164211268 0,84093.1993257586 447413.892640517 0,84090.7266314633 447418.668008962 0,84088.8416165396 447422.277787942 0,84085.9863226564 447427.670598322 0,84084.4416243966 447430.585650137 0,84082.5890455078 447434.061443457 0,84081.0304629551 447436.965566643 0,84077.5710968104 447443.335044059 0,84075.6840441756 447446.800203252 0,84074.0909863299 447449.693691912 0,84072.1830270128 447453.136895425 0,84070.5760849895 447456.019455549 0,84068.6544005601 447459.46285576 0,84067.0337326441 447462.345612373 0,84065.0978483795 447465.755834327 0,84063.4701613732 447468.627564806 0,84062.1768645067 447470.871412871 0,84060.5284276049 447473.732312336 0,84058.5585438935 447477.165275234 0,84056.9030879556 447480.015148605 0,84054.9055910319 447483.437378677 0,84053.2362510688 447486.276323662 0,84051.2181642915 447489.698848285 0,84049.5349403362 447492.526864904 0,84047.5029704649 447495.938461447 0,84045.8128858303 447498.766577047 0,84042.0165926031 447505.096366627 0,84038.218884335 447511.326034222 0,84030.1593156646 447524.459619932 0,84018.1428142152 447543.725024986 0,84009.944629397 447556.760473877 0,84006.0569665663 447562.935812294 0,84002.1555837816 447569.111349331 0,83998.25405244 447575.275764508 0,83993.9228429708 447582.125064086 0,83974.4157053943 447612.96945458 0,83876.8902566166 447767.170237872 0,83817.7831197805 447860.637058327 0,83817.1128172916 447860.33506461 0,83808.187167318 447854.565051404 0,83810.3258872389 447845.187611968 0,83808.5343186074 447844.256247623 0,83829.1443599221 447807.11964305 0,83829.17804753 447807.074653135 0,83895.6117160272 447702.020174468 0,83904.8178069418 447687.479101128 0,83905.8518156539 447685.839778156 0,83981.1347037455 447564.548090487 0,83988.8268044967 447552.142925793 0,84000.7948013025 447532.85588355 0,84016.8238672466 447507.023872576 0,84023.8473481143 447493.459922963 0,84043.0918752688 447462.441446185 0,84063.1290005142 447430.165522307 0,84076.3140799517 447405.164211268 0)))";w551121237;"551121237";way;yes;;;no;ParkerenDelft;24/7;2.20 m;underground;;;;;;;;;"2015";2017-12-08;"503100000035276";;"-2";;;;"650";;;;;;;;underground;Prinsenhofgarage;yes;parking
"MULTIPOLYGON Z (((83955.7193133146 447831.285524543 0,83948.9712938169 447823.659363076 0,83955.0603865004 447816.362133114 0,83958.5389071777 447815.222097975 0,83965.5923293095 447821.152578053 0,83955.7193133146 447831.285524543 0)))";w557419379;"557419379";way;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;playground;;;;;
"MULTIPOLYGON Z (((84003.6106607891 447761.959319062 0,83955.4198378552 447731.723092059 0,83954.3597161804 447731.048307413 0,83960.4617501696 447721.759123942 0,84007.9585649543 447754.364259762 0,84003.6106607891 447761.959319062 0)))";w558041164;"558041164";way;yes;;;;;;;;;;;;;;;;;;;;;;paved;;;;yes;;;;playground;;;;;
"MULTIPOLYGON Z (((85384.2328034728 447585.654068553 0,85398.4299023123 447564.837184631 0,85402.77719773 447567.858737974 0,85404.9751212583 447564.467647847 0,85445.7742274868 447593.018240827 0,85437.3854186113 447605.441940682 0,85441.0944179206 447607.993961971 0,85434.3543100815 447618.013448928 0,85430.5935355622 447615.195102393 0,85428.1467426693 447618.956851381 0,85390.6771912608 447592.819031813 0,85388.9233008064 447591.619525092 0,85390.2416323151 447589.653861455 0,85384.2328034728 447585.654068553 0)))";w579375842;"579375842";way;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;Parkeergebied E;yes @ (Mo-Sa 12:00-24:00);;;;surface;;no;parking
"MULTIPOLYGON Z (((85350.03384938 448085.130994102 0,85351.3406317542 448086.281094965 0,85368.7580541333 448101.493494398 0,85425.7238614197 448019.046807584 0,85410.2412739426 448011.128901268 0,85405.9159217448 448002.765983518 0,85405.0197771259 448001.031521823 0,85398.7829435471 448013.614431908 0,85393.4446087017 448023.180461752 0,85381.942799232 448041.233595955 0,85371.0890629891 448057.508482347 0,85350.03384938 448085.130994102 0)))";w582039513;"582039513";way;yes;;;;;;;;;;;;;;;;;;;;;;unpaved;;"60";;;;;;;;surface;;no;parking
"MULTIPOLYGON Z (((83732.5772912177 447705.950102287 0,83730.0791312493 447698.341377972 0,83733.4713895644 447695.967293152 0,83740.2968899532 447700.33177496 0,83732.5772912177 447705.950102287 0)))";w583519954;"583519954";way;yes;;Play area for neihgbourhood kids;;;;;;;;;;;;;;;;;;;;stone;;;;;;;;playground;;;Het pleintje;;
"MULTIPOLYGON Z (((85335.1777138717 447817.885088757 0,85336.6335922206 447818.398853001 0,85339.0401642175 447810.787605292 0,85364.8645232921 447819.762594099 0,85362.2251445819 447827.421589139 0,85359.1960798503 447826.351175971 0,85356.5467412339 447833.787769401 0,85330.6414629295 447824.914100045 0,85332.3255419643 447820.139253489 0,85335.1777138717 447817.885088757 0)))";w633461342;"633461342";way;yes;;;;;;;;;;;;;;;;;;;;;;;;"46";;;Parkeergebied E;yes @ (Mo-Sa 12:00-24:00);;;;;;no;parking
