WKT;identificatie;rdf_seealso;bouwjaar;status;gebruiksdoel;oppervlakte_min;oppervlakte_max;aantal_verblijfsobjecten;fuuid
"POLYGON ((79659.895 454452.851,79660.908 454451.118,79663.066 454452.38,79662.054 454454.112,79659.895 454452.851))";"0518100000265436";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000265436;"2011";Pand in gebruik;;;;"0";pand.4d0a1d59-e22d-428e-b01f-5ad09c9b2f2e
"POLYGON ((79966.209 454865.077,79962.788 454865.787,79960.104 454853.953,79970.126 454851.668,79971.146 454851.572,79972.197 454851.854,79973.077 454852.494,79973.67 454853.407,79973.896 454854.472,79973.725 454855.547,79973.181 454856.489,79966.209 454865.077))";"0518100000270563";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000270563;"1914";Pand in gebruik;woonfunctie;"39";"61";"8";pand.4c1a820e-107a-4f32-8c23-e395febd0f13
"POLYGON ((79541.32 454272.08,79536.882 454281.952,79531.193 454279.111,79532.496 454276.268,79536.062 454278.136,79539.088 454271.274,79536.583 454270.242,79536.096 454271.436,79534.918 454270.948,79535.978 454268.62,79540.021 454259.813,79540.564 454258.63,79542.749 454259.559,79545.984 454260.934,79546.32 454261.077,79541.32 454272.08))";"0518100000269155";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000269155;"1895";Pand in gebruik;woonfunctie;"62";"92";"3";pand.1e70090c-44af-4671-a7f8-4b86903a97ee
"POLYGON ((80125.132 454447.33,80121.092 454460.534,80115.383 454458.59,80118.305 454450.0,80123.983 454432.825,80127.262 454433.932,80126.817 454435.284,80126.548 454435.189,80122.624 454446.476,80125.132 454447.33))";"0518100000269156";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000269156;"1927";Pand in gebruik;woonfunctie;"27";"98";"6";pand.507fb56b-9778-4f49-8ec7-0b7381c5c3f1
"POLYGON ((80442.586 454179.729,80441.241 454181.46,80440.6 454182.284,80436.632 454179.862,80438.359 454177.079,80442.586 454179.729))";"0518100000267725";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000267725;"1997";Pand in gebruik;;;;"0";pand.f8fdbb16-1d17-4aaa-804e-6fe080b993ab
"POLYGON ((79978.577 454412.171,79972.843 454410.231,79976.861 454398.7,79979.329 454399.554,79981.057 454394.645,79982.848 454395.243,79983.704 454392.781,79985.164 454393.293,79984.313 454395.732,79984.154 454395.679,79978.577 454412.171))";"0518100000269157";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000269157;"1933";Pand in gebruik;woonfunctie;"102";"145";"2";pand.b7677aec-e265-43ad-b1c2-8bc997300de8
"POLYGON ((79579.168 454591.949,79570.431 454593.372,79570.482 454593.688,79569.028 454593.921,79569.173 454594.575,79568.39 454595.664,79564.129 454596.329,79564.0 454596.349,79562.907 454595.483,79561.819 454595.632,79561.529 454593.754,79562.62 454593.614,79562.614 454593.506,79563.396 454592.446,79563.72 454592.395,79562.797 454586.857,79561.698 454587.015,79561.711 454587.104,79561.127 454587.188,79561.042 454586.596,79561.137 454586.57,79561.124 454586.478,79561.209 454586.459,79560.543 454582.053,79560.444 454582.068,79560.429 454581.969,79560.33 454581.984,79560.242 454581.395,79560.332 454581.378,79560.84 454581.28,79560.856 454581.379,79560.955 454581.363,79560.971 454581.462,79561.273 454581.413,79567.877 454580.351,79569.487 454580.092,79569.587 454580.719,79570.478 454586.315,79569.707 454586.475,79569.783 454586.804,79572.36 454586.41,79574.86 454586.009,79574.68 454584.874,79576.431 454584.561,79576.602 454585.937,79578.394 454586.35,79579.701 454586.656,79578.63 454588.058,79579.168 454591.949))";"0518100000265923";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000265923;"1910";Pand in gebruik;woonfunctie;"113";"129";"2";pand.5e966458-007b-43e2-8e65-23c18b61162f
"POLYGON ((80288.814 454320.853,80287.278 454319.892,80285.374 454318.747,80286.431 454316.669,80288.449 454317.895,80289.401 454316.329,80287.429 454315.13,80291.835 454307.563,80295.375 454309.711,80288.814 454320.853))";"0518100000271115";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000271115;"1882";Pand in gebruik;woonfunctie;"64";"64";"1";pand.b0370cd3-8729-4443-b3c8-7a26bb07be9d
"POLYGON ((80216.067 454344.882,80216.655 454343.957,80216.747 454343.812,80217.577 454342.505,80219.271 454343.58,80219.471 454343.707,80218.549 454345.159,80217.963 454346.081,80216.067 454344.882))";"0518100000268837";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000268837;"1927";Pand in gebruik;;;;"0";pand.bad4c72e-b0dc-4240-af1f-34cc9bcfa06c
"POLYGON ((80172.55 454926.09,80169.835 454929.869,80159.806 454922.581,80162.313 454918.985,80172.55 454926.09))";"0518100000271551";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000271551;"1900";Pand in gebruik;"overige gebruiksfunctie,woonfunctie";"43";"94";"2";pand.5ef5aac4-868a-452c-ba9a-fee8b61deaa8
"POLYGON ((79617.071 454444.802,79618.025 454443.044,79620.222 454444.237,79619.268 454445.995,79617.071 454444.802))";"0518100000272532";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000272532;"2011";Pand in gebruik;;;;"0";pand.82419039-b15a-453b-9074-20f7b7b64729
"POLYGON ((80070.233 454955.556,80068.503 454954.167,80070.097 454952.199,80071.821 454953.595,80070.233 454955.556))";"0518100000273022";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000273022;"1993";Pand in gebruik;;;;"0";pand.10439ae4-c5b0-40bf-97e7-d6a7350b7be9
"POLYGON ((79506.502 454538.354,79504.548 454537.424,79505.826 454534.739,79506.035 454534.3,79507.99 454535.23,79507.785 454535.66,79506.502 454538.354))";"0518100000268871";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000268871;"1906";Pand in gebruik;;;;"0";pand.774992c1-cf50-444e-934e-2860a2bfd904
"POLYGON ((79812.847 454499.037,79787.377 454490.377,79801.39 454449.131,79822.569 454456.327,79826.863 454457.786,79812.847 454499.037))";"0518100000272537";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000272537;"2008";Pand in gebruik;"overige gebruiksfunctie,woonfunctie";"22";"525";"86";pand.1c1dcd42-e214-4c69-ba09-e1a7ca438870
"POLYGON ((79981.172 454389.123,79981.164 454389.146,79980.239 454391.786,79979.286 454391.468,79976.771 454390.626,79973.693 454389.442,79968.597 454387.486,79969.309 454385.314,79969.283 454385.254,79971.01 454384.232,79971.055 454384.301,79972.741 454384.869,79973.255 454382.916,79982.192 454385.764,79982.316 454385.826,79981.172 454389.123))";"0518100000270161";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000270161;"1933";Pand in gebruik;woonfunctie;"28";"83";"4";pand.1f485b4d-54e0-40fd-ac24-fc880076d73f
"POLYGON ((80288.269 454469.564,80283.247 454473.488,80275.416 454465.779,80280.684 454460.405,80282.156 454458.904,80284.301 454460.737,80283.728 454460.956,80285.22 454465.26,80286.451 454465.231,80288.269 454469.564))";"0518100000273040";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000273040;"1927";Pand in gebruik;"sportfunctie,woonfunctie";"77";"92";"3";pand.164861ea-dfe2-41df-aa30-eb1d93ce1a17
"POLYGON ((79962.506 454944.585,79961.09 454946.363,79957.746 454943.7,79959.196 454941.88,79962.506 454944.585))";"0518100000268486";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000268486;"1994";Pand in gebruik;;;;"0";pand.38a39322-807a-4cea-8311-afe72f6496ef
"POLYGON ((80345.028 454123.164,80343.576 454125.595,80339.346 454123.103,80340.016 454121.965,80340.793 454120.669,80345.028 454123.164))";"0518100000265474";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000265474;"1997";Pand in gebruik;;;;"0";pand.8f63da7b-eb43-4c92-8aa7-a92f99e70322
"POLYGON ((80341.39 454119.656,80340.793 454120.669,80340.016 454121.965,80333.307 454118.012,80334.671 454115.697,80341.39 454119.656))";"0518100000265475";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000265475;"1997";Pand in gebruik;;;;"0";pand.add8d15e-07ea-4c3e-86b3-4dddcf9429cd
"POLYGON ((80332.437 454115.816,80330.995 454118.204,80327.019 454115.804,80328.46 454113.414,80332.437 454115.816))";"0518100000265476";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000265476;"1997";Pand in gebruik;;;;"0";pand.b2ee4bbf-aaca-4d42-8739-95ef205bbdeb
"POLYGON ((80327.019 454115.804,80324.382 454114.212,80325.824 454111.823,80328.46 454113.414,80327.019 454115.804))";"0518100000265477";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000265477;"1997";Pand in gebruik;;;;"0";pand.b67cd0be-5036-4724-94c1-e8023f5c57f5
"POLYGON ((79509.52 454166.509,79507.282 454165.49,79504.229 454171.937,79501.688 454170.74,79508.694 454155.252,79510.526 454156.078,79513.548 454157.442,79509.52 454166.509))";"0518100000270184";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000270184;"1901";Pand in gebruik;woonfunctie;"35";"61";"3";pand.65fd5a4d-77d1-48b9-820b-c9ac57b381cb
"POLYGON ((80152.539 454218.486,80149.59 454223.101,80140.45 454217.094,80141.875 454214.895,80135.858 454211.118,80134.526 454213.283,80132.891 454211.336,80135.529 454207.577,80137.352 454208.738,80152.539 454218.486))";"0518100000269745";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000269745;"1898";Pand in gebruik;woonfunctie;"79";"81";"2";pand.d7f9d4d4-ebf0-41ab-8258-efd187127d6b
"POLYGON ((80177.008 454144.02,80175.958 454145.769,80174.061 454144.626,80174.519 454143.864,80171.477 454142.04,80172.067 454141.057,80177.008 454144.02))";"0518100000268518";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000268518;"1995";Pand in gebruik;;;;"0";pand.d7c68102-b163-4fc4-b1d0-67e70f627856
"POLYGON ((80161.201 454133.996,80158.58 454132.531,80159.599 454130.709,80162.22 454132.174,80161.201 454133.996))";"0518100000268520";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000268520;"1995";Pand in gebruik;;;;"0";pand.99dff0b5-a7ea-4943-bb40-14f5dab727dc
"POLYGON ((79663.481 454532.658,79664.702 454530.477,79666.446 454531.453,79665.225 454533.635,79663.481 454532.658))";"0518100000264842";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000264842;"2011";Pand in gebruik;;;;"0";pand.d1639c84-8648-4bcc-8111-e0f8f8011df2
"POLYGON ((80095.815 454423.243,80095.54 454423.15,80094.258 454427.008,80091.432 454435.201,80087.212 454449.013,80075.39 454445.002,80079.591 454432.095,80083.827 454419.356,80084.482 454419.472,80086.964 454420.345,80088.735 454415.512,80091.828 454416.564,80097.628 454418.537,80096.894 454420.524,80095.815 454423.243),(80082.619 454433.263,80085.509 454434.103,80084.816 454436.118,80086.679 454436.721,80087.378 454434.742,80088.759 454435.398,80089.972 454431.839,80087.461 454431.013,80083.836 454429.821,80082.619 454433.263))";"0518100000270632";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000270632;"1925";Pand in gebruik;woonfunctie;"46";"109";"9";pand.7b238c8c-39f4-4714-a3cd-fe9097b09d3d
"POLYGON ((79440.608 454824.661,79436.822 454829.581,79427.67 454822.538,79429.082 454820.702,79433.602 454824.18,79434.337 454823.328,79434.648 454822.821,79432.454 454821.133,79433.781 454819.408,79440.608 454824.661))";"0518100000270645";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000270645;"1895";Pand in gebruik;woonfunctie;"37";"57";"2";pand.ea08134e-2eb2-4d5f-959f-523a86b2a7da
"POLYGON ((80571.374 454705.096,80572.089 454705.507,80568.719 454710.72,80563.492 454707.54,80565.347 454704.585,80566.784 454702.484,80572.449 454693.807,80572.964 454693.156,80577.035 454696.381,80571.374 454705.096))";"0518100000271256";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000271256;"1925";Pand in gebruik;"industriefunctie,woonfunctie";"64";"96";"3";pand.a2010beb-3b68-440b-b64a-410ed3cfac80
"POLYGON ((79486.414 454783.889,79485.371 454785.483,79482.623 454783.686,79483.666 454782.091,79486.414 454783.889))";"0518100000270658";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000270658;"1898";Pand in gebruik;;;;"0";pand.8dbffd1b-68cf-47ce-a48e-af31abaa1c92
"POLYGON ((79456.818 454767.833,79456.729 454767.767,79454.675 454766.248,79456.747 454763.298,79458.971 454764.855,79456.818 454767.833))";"0518100000270659";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000270659;"1896";Pand in gebruik;;;;"0";pand.cad5d3b0-a114-4a74-a3a4-3a9f54fdf0c0
"POLYGON ((79661.736 454531.682,79662.957 454529.501,79664.702 454530.477,79663.481 454532.658,79661.736 454531.682))";"0518100000271280";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000271280;"2011";Pand in gebruik;;;;"0";pand.e2b6a771-a807-4e26-b5ab-2941b8cf95d8
"POLYGON ((79957.739 454950.618,79956.356 454952.347,79953.032 454949.618,79954.381 454947.932,79957.739 454950.618))";"0518100000271694";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000271694;"1994";Pand in gebruik;;;;"0";pand.507ea982-bdc0-423e-8b07-6ee2c2cdddef
"POLYGON ((79956.356 454952.347,79956.297 454952.42,79954.911 454954.153,79951.553 454951.467,79953.032 454949.618,79956.356 454952.347))";"0518100000271695";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000271695;"1994";Pand in gebruik;;;;"0";pand.84adcd84-aca7-4510-970f-1e84dfb278a1
"POLYGON ((79970.025 454935.184,79968.66 454936.891,79965.349 454934.177,79966.678 454932.515,79970.025 454935.184))";"0518100000271696";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000271696;"1994";Pand in gebruik;;;;"0";pand.c279fea6-a371-40b9-88c2-8b07acd4c803
"POLYGON ((79985.857 454254.727,79988.438 454255.8,79990.329 454256.632,79989.503 454258.848,79989.454 454259.007,79984.889 454257.045,79984.188 454258.903,79983.106 454258.431,79982.17 454260.916,79971.47 454256.51,79974.003 454250.015,79976.736 454243.008,79987.433 454247.383,79986.673 454249.25,79986.3 454250.167,79987.394 454250.657,79985.857 454254.727))";"0518100000269811";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000269811;"1928";Pand in gebruik;woonfunctie;"74";"91";"6";pand.198d2c98-08e9-4a98-bf2c-c1231b22f847
"POLYGON ((79529.1 454199.337,79531.237 454200.249,79527.056 454210.251,79521.831 454208.083,79531.896 454183.78,79537.129 454186.156,79535.81 454189.309,79533.754 454188.432,79529.1 454199.337))";"0518100000272128";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000272128;"1902";Pand in gebruik;woonfunctie;"50";"81";"4";pand.c45a7867-64cd-4039-8e43-87d06c219dde
"POLYGON ((79579.671 454307.022,79577.78 454310.558,79575.612 454314.61,79573.524 454318.512,79571.357 454322.563,79569.329 454326.352,79567.147 454330.431,79564.74 454328.916,79560.484 454326.236,79560.144 454326.022,79575.671 454297.293,79573.514 454296.287,79577.54 454287.656,79575.088 454286.17,79579.981 454275.382,79582.699 454276.555,79593.812 454281.565,79588.175 454292.213,79587.858 454292.06,79583.893 454299.131,79582.918 454300.953,79581.784 454303.074,79579.671 454307.022))";"0518100000273526";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000273526;"1903";Pand in gebruik;woonfunctie;"18";"52";"27";pand.5ef5481d-6116-4a21-9981-54ff63101d31
