WKT;full_id;osm_id;osm_type;highway;surface:lanes:forward;surface:lanes:backward;embedded_rails:lanes:forward;embedded_rails:lanes:backward;parking:condition:right;canoe;taxi;bus:lanes:forward;access:lanes:forward;embankment;emergency;survey:date;oneway:psv;oneway:bus;alt_name;motorcar;hazard;office;parking:condition:both;temporary;surface:lanes;sidewalk:right;sidewalk:left;parking:lane:right:capacity;covered;tunnel;maxweight:signed;cycleway:lane;maxaxleload;year_of_construction;construction;traffic_sign:backward;oneway:motorcycle;moped;traffic_calming;wikimedia_commons;mofa;abutters;embedded_rails;bus;bicycle:forward;noexit;maxlength;psv;incline;horse;sidewalk:both;parking:lane:right;bicycle:backward;name:etymology:wikidata;bus:lanes:backward;access:lanes:backward;bridge;source:date;traffic_sign;short_name;parking:lane:both;parking:lane:left;maxweight:destination;maxweight;postal_code;old_name;description;noname;turn:lanes:backward;hgv;wikipedia;wikidata;service;url;source:maxspeed;cycleway:left:oneway;name:zh;turn:lanes:forward;sidewalk:left:surface;motor_vehicle;layer;mapillary;lanes:backward;image;source:width;sidewalk:right:surface;cycleway:both:lane;smoothness;width;sidewalk:both:surface;embedded_rails:lanes;bus:lanes;access:lanes;junction;cycleway:left:lane;cycleway:right:lane;lane_markings;cycleway:both;ele;cycleway:right;cycleway:left;maxheight;access;cycleway;maxspeed:type;turn:lanes;foot;sidewalk;lit;lanes:forward;lanes;bicycle;oneway:moped;oneway:mofa;cyclestreet;zone:traffic;surface;oneway:bicycle;oneway;maxspeed;name
"LINESTRING Z (87590.1151560957 453681.011309419 0,87556.8201773775 453720.941582406 0,87530.4409281832 453751.965608083 0,87511.1398069382 453774.448266884 0,87508.5908014636 453777.631824131 0,87489.9872438461 453798.947882257 0,87470.2214079687 453822.02675198 0,87450.2295898057 453845.620622388 0,87427.5458045595 453871.443178173 0,87403.4476348444 453899.644017682 0,87400.8285052872 453901.69360918 0,87397.768793369 453902.102357153 0,87394.0388988221 453902.141883175 0,87391.2104089663 453900.388815029 0,87389.5424765469 453898.252787943 0,87387.5329058418 453895.197842541 0,87385.7962755629 453891.538321043 0,87367.6027180073 453847.56590503 0,87349.5226325976 453803.89244552 0,87338.5395071288 453777.347517564 0,87337.5350862585 453767.524709731 0,87337.9665958734 453762.945558895 0,87338.517995818 453757.096276011 0,87340.4746531688 453749.692338474 0,87342.9238115629 453743.20526749 0,87347.7216522334 453733.937857828 0,87352.4818307496 453727.953493491 0,87357.6967020845 453723.131313426 0,87373.4658342 453710.254307421 0,87401.0668568422 453688.960286892 0,87426.9954108135 453666.698802953 0,87432.1518197037 453662.611893158 0,87471.9650547268 453631.060166845 0)";w7447751;"7447751";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;paving_stones;;;"30";Lisdoddeveld
"LINESTRING Z (87975.4175999834 452901.735361462 0,88007.1593838539 452875.693446882 0,88020.9657184258 452866.483577663 0,88033.1050380699 452858.776080743 0,88046.4926261388 452851.062957045 0,88063.3060213564 452842.057574068 0,88078.9981976784 452835.359514839 0,88093.6822329816 452829.687624143 0,88097.4556628447 452828.234900724 0)";w7447771;"7447771";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;no;no;;;;no;yes;"30";Regenboogforelvijver
"LINESTRING Z (87816.4962649148 453285.22798529 0,87792.2699172212 453317.011515489 0)";w7447785;"7447785";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"30";Rietvoornvijver
"LINESTRING Z (88293.6981315601 452961.11987148 0,88291.7598368393 452970.537166777 0)";w7447792;"7447792";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;yes;"30";Glazenmakerhof
"LINESTRING Z (88072.6284684417 453065.655235415 0,88074.893019616 453069.319019607 0)";w7447794;"7447794";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"50";Meivliegsingel
"LINESTRING Z (88319.3966219147 453652.3626978 0,88320.7293044566 453654.581410532 0,88326.7623572717 453664.693102719 0,88349.5883434652 453703.888931402 0,88350.096427696 453707.520715691 0,88348.8921976882 453711.30895068 0,88345.1125050116 453714.297129966 0,88326.9055815622 453725.056117752 0,88301.7934778383 453739.423871159 0)";w7447795;"7447795";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"30";Smientstraat
"LINESTRING Z (87928.0005882282 452856.240554955 0,87931.4377189561 452860.378077933 0,87934.3709895519 452862.753168061 0,87939.09524758 452864.681306559 0)";w7447799;"7447799";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"50";Barbeeldam
"LINESTRING Z (88072.6284684417 453065.655235415 0,88165.1095141078 452947.154880666 0,88227.8049849196 452867.37762137 0,88279.7171358217 452801.699131618 0,88326.5297876797 452741.819977075 0)";w7447801;"7447801";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;no;no;;;;no;yes;"30";Snoekbaarssingel
"LINESTRING Z (88250.9847212944 453424.794019216 0,88252.5707505129 453427.487786501 0,88317.7324498505 453536.306294756 0,88319.1821725278 453538.556821153 0,88323.6717434049 453545.551320248 0,88366.2313521827 453617.26363159 0,88365.8188626211 453621.286062302 0,88364.7784098315 453625.016464461 0)";w7447808;"7447808";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"30";Pijlstaartsingel
"LINESTRING Z (88298.5443844577 453319.283019471 0,88334.3992565433 453379.234466693 0,88345.265544028 453397.393175555 0,88401.934837504 453488.734401504 0,88429.0067454841 453533.626539274 0)";w7447812;"7447812";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"30";Kuifduikerstraat
