WKT;full_id;osm_id;osm_type;highway;sidewalk:left:surface;sidewalk:right:surface;bicycle:backward;destination:lanes;covered;sidewalk:both:surface;cycleway:both;cycleway:left;bicycle:forward;embedded_rails:lanes:forward;embedded_rails:lanes:backward;bus;oneway:bus;bus:lanes:forward;bus:lanes:backward;access:lanes:forward;access:lanes:backward;sidewalk:right;sidewalk:left;lanes:backward;destination:symbol:name;description;traffic_sign;placement:forward;destination:symbol;maxweight:signed;source:width;mapillary;image;embedded_rails:lanes;shoulder;mofa;motor_vehicle;loc_name;psv:lanes;carriageway_ref;voltage;cycleway;embedded_rails;tunnel;smoothness;change:lanes;wikidata;name:etymology:wikidata;placement;width;lane_markings;layer;bridge;priority_road;old_name;agricultural;destination:colour;destination;sidewalk;cycleway:right:lane;cycleway:right;operator;bus:lanes;access:lanes;zone:traffic;moped;turn:lanes:forward;turn:lanes:backward;ref;lanes:forward;destination:ref;destination:forward;destination:backward;maxheight;junction;turn:lanes;source:maxspeed;surface;oneway;old_ref;name;maxspeed;lit;lanes;foot;bicycle
"LINESTRING Z (78999.6938485397 456004.701338343 0,78991.1604492727 455999.379172798 0,78979.3545302042 455991.636695427 0,78928.2679387266 455959.112618423 0)";w104059843;"104059843";way;secondary;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Gemeente Den Haag;;;NL:urban;use_sidepath;;"through|through;right";S200;;;;;;;;;asphalt;;;President Kennedylaan;"50";;"4";;no
"LINESTRING Z (82838.6176185124 452895.392731806 0,82843.2505101011 452888.50450665 0,82844.7694548879 452885.878687582 0,82845.5061292774 452885.122477837 0,82849.527225144 452880.980460943 0,82858.0062136596 452868.283664866 0,82924.8699125961 452754.205565718 0,82955.9783819624 452700.299469578 0)";w120595259;"120595259";way;secondary;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;asphalt;yes;S107;Haagweg;"50";;"1";use_sidepath;use_sidepath
"LINESTRING Z (82122.140313043 452461.042630925 0,82140.5687319466 452452.839135936 0,82157.6007210547 452445.301525551 0,82172.0911618688 452437.52295678 0,82179.732612277 452432.348242968 0,82191.0792717884 452424.893887387 0,82196.9143926623 452420.502273727 0)";w120865228;"120865228";way;secondary;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NL:urban;asphalt;yes;;Burgemeester Elsenlaan;"50";;"1";use_sidepath;use_sidepath
"LINESTRING Z (87721.1987981608 453076.967531837 0,87719.3440714766 453086.395069211 0)";w120961566;"120961566";way;secondary;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NL:urban;asphalt;yes;N469;Zoetermeerse Rijweg;"50";;"3";no;no
"LINESTRING Z (87597.9930077117 453408.366071654 0,87605.2164824538 453400.401355135 0,87625.1700921917 453378.355364405 0,87635.2581176813 453364.142953307 0,87643.5304587788 453351.067847114 0,87652.0452368 453334.617935532 0,87656.8148073237 453322.680701475 0,87660.8254715084 453310.408793676 0,87666.1263056834 453292.110755583 0,87671.7240756252 453263.816487599 0,87683.416780094 453198.330627843 0)";w120961569;"120961569";way;secondary;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NL:urban;asphalt;yes;N469;Zoetermeerse Rijweg;"50";yes;"2";use_sidepath;use_sidepath
"LINESTRING Z (79369.5689452658 458829.294685065 0,79368.0203123759 458830.175071635 0,79359.9897295452 458834.147407053 0)";w122191725;"122191725";way;secondary;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;asphalt;yes;;Kurhausweg;"50";;;;use_sidepath
"LINESTRING Z (83024.3245139929 455845.772674286 0,83033.1322042755 455830.545353798 0,83048.1612557933 455806.103590795 0,83061.7670527841 455787.045872474 0)";w122553923;"122553923";way;secondary;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;right;;;;;;;;;;;;;;;;;;;asphalt;yes;;Laan van Nieuw-Oost-Indië;"50";;"1";;use_sidepath
"LINESTRING Z (82928.8142290578 456002.371780753 0,82909.1732277062 456033.91329589 0,82904.3031288587 456041.728559457 0,82900.1548109088 456049.210672682 0)";w122553925;"122553925";way;secondary;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"left|through|through;right";;asphalt;yes;;Laan van Nieuw-Oost-Indië;"50";yes;"3";;use_sidepath
"LINESTRING Z (83444.770347065 455235.056317663 0,83450.3276422112 455238.681835192 0,83452.0371364177 455239.803378309 0,83458.4239998983 455244.385061094 0)";w122553929;"122553929";way;secondary;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"left;through|through";;asphalt;yes;;Schenkkade;"50";;"2";;
"LINESTRING Z (79519.0308164321 451506.320203729 0,79525.0859620735 451499.318271336 0,79528.0457047886 451495.868409541 0,79555.6715905046 451463.914569525 0,79639.0360387011 451367.434642289 0,79654.5655000085 451349.451368836 0,79656.6625240662 451347.016111501 0,79659.5282652935 451343.690156381 0,79667.5457460932 451335.301173205 0)";w122725028;"122725028";way;secondary;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;yes;;Loevesteinlaan;"50";;"2";;use_sidepath
